Time (s), Rotation Speed (RPM)
1.00, 0
2.00, 0
3.00, 0
4.00, 0
5.00, 0
6.00, 0
7.00, 0
8.00, 0
9.00, 0
10.00, 0
11.00, 600
12.00, 1048
13.00, 1141
14.00, 1168
15.00, 1141
16.00, 1170
17.00, 1138
18.00, 1141
19.00, 1168
20.00, 1170
21.00, 1140
22.00, 1170
23.00, 1201
24.00, 1138
25.00, 1200
26.00, 1170
27.00, 1170
28.00, 1198
29.00, 1501
30.00, 1588
31.00, 1591
32.00, 1560
33.00, 1588
34.00, 1681
35.00, 1978
36.00, 2070
37.00, 2040
38.00, 2010
39.00, 2010
40.00, 2040
41.00, 2010
42.00, 2040
43.00, 2130
44.00, 2397
45.00, 2402
46.00, 2457
47.00, 2372
48.00, 2430
49.00, 2397
50.00, 2582
51.00, 2697
52.00, 2730
53.00, 2730
54.00, 2700
55.00, 2940
56.00, 2940
57.00, 2970
58.00, 2970
59.00, 2970
60.00, 2997
61.00, 3063
62.00, 3266
63.00, 3303
64.00, 3296
65.00, 3240
66.00, 3303
67.00, 3566
68.00, 3570
69.00, 3630
70.00, 3570
71.00, 3570
72.00, 3570
73.00, 3540
74.00, 3660
75.00, 3600
76.00, 3626
77.00, 3573
78.00, 4015
79.00, 4084
80.00, 4075
81.00, 4080
82.00, 4024
83.00, 4015
84.00, 4080
85.00, 4080
86.00, 4080
87.00, 4290
88.00, 4290
89.00, 4410
90.00, 2730
91.00, 1410
92.00, 689
93.00, 0
94.00, 1318
95.00, 1861
96.00, 1888
97.00, 1710
